  year          mean           unc
  1984       1644.68          0.67
  1985       1657.28          0.51
  1986       1670.08          0.79
  1987       1682.71          0.51
  1988       1693.19          0.55
  1989       1704.54          0.52
  1990       1714.42          0.68
  1991       1724.85          0.65
  1992       1735.51          0.61
  1993       1736.49          0.47
  1994       1742.06          0.62
  1995       1748.80          0.54
  1996       1751.46          0.64
  1997       1754.54          0.42
  1998       1765.54          0.67
  1999       1772.39          0.58
  2000       1773.37          0.77
  2001       1771.20          0.55
  2002       1772.69          0.52
  2003       1777.31          0.53
  2004       1777.03          0.54
  2005       1774.14          0.58
  2006       1774.93          0.55
  2007       1781.39          0.59
  2008       1787.00          0.57
  2009       1793.54          0.69
  2010       1798.90          0.66
  2011       1803.11          0.66
  2012       1808.02          0.58
  2013       1813.39          0.68
  2014       1822.61          0.46
  2015       1834.25          0.52
  2016       1843.12          0.61
  2017       1849.67          0.69
  2018       1857.31          0.81
  2019       1866.60          0.56
  2020       1879.09          0.63
