Los Angeles, California, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1945-2000
Missing: -99
Date,Value,Anomaly
194512,61.2,-1.1
194612,61.1,-1.2
194712,61.7,-0.6
194812,59.8,-2.5
194912,60.3,-2.0
195012,60.4,-1.9
195112,60.8,-1.5
195212,60.3,-2.0
195312,61.7,-0.6
195412,61.8,-0.5
195512,60.5,-1.8
195612,61.3,-1.0
195712,61.8,-0.5
195812,63.4,1.1
195912,63.9,1.6
196012,61.6,-0.7
196112,62.0,-0.3
196212,60.8,-1.5
196312,63.1,0.8
196412,60.6,-1.7
196512,61.5,-0.8
196612,62.1,-0.2
196712,62.2,-0.1
196812,62.0,-0.3
196912,61.9,-0.4
197012,62.2,-0.1
197112,61.4,-0.9
197212,62.5,0.2
197312,61.4,-0.9
197412,61.8,-0.5
197512,61.0,-1.3
197612,63.4,1.1
197712,62.7,0.4
197812,62.9,0.6
197912,62.6,0.3
198012,62.6,0.3
198112,63.8,1.5
198212,62.3,0.0
198312,63.2,0.9
198412,64.1,1.8
198512,62.2,-0.1
198612,63.4,1.1
198712,62.4,0.1
198812,62.6,0.3
198912,62.9,0.6
199012,63.4,1.1
199112,62.2,-0.1
199212,64.6,2.3
199312,63.7,1.4
199412,63.3,1.0
199512,63.1,0.8
199612,63.9,1.6
199712,65.0,2.7
199812,62.7,0.4
199912,62.1,-0.2
200012,63.3,1.0
200112,62.0,-0.3
200212,62.3,0.0
200312,63.4,1.1
200412,63.6,1.3
200512,63.3,1.0
200612,64.0,1.7
200712,62.9,0.6
200812,64.2,1.9
200912,63.6,1.3
201012,62.2,-0.1
201112,62.1,-0.2
201212,63.7,1.4
201312,64.0,1.7
201412,66.2,3.9
201512,65.7,3.4
201612,64.8,2.5
201712,65.1,2.8
201812,65.1,2.8
201912,63.8,1.5
202012,65.3,3.0
202112,64.0,1.7
